gene_name	cath_superfamily	pdb_id	chromosome	gene_id	genome_accessions
EYA2	3.40.50.12350;	3GEB;3HB0;3HB1;4EGC;5ZMA;7F8G;7F8H;	20	2139	{'-': '4973:298974', 'Reference GRCh38.p14 Primary Assembly': '46894842:47188843', 'Alternate T2T-CHM13v2.0': '48632936:48926939'}
FXYD1	1.20.5.780;	2JO1;	19	5348	{'Reference GRCh38.p14 Primary Assembly': '35137187:35143108', 'Alternate T2T-CHM13v2.0': '37681905:37687736'}
AIP	3.10.50.40;1.25.40.10;	2LKN;4AIF;4APO;7ZUB;	11	9049	{'-': '4995:13074', 'Reference GRCh38.p14 Primary Assembly': '67483025:67491102', 'Alternate T2T-CHM13v2.0': '67462304:67485229'}
CCL24	2.40.50.40;	1EIG;1EIH;	7	6369	{'Reference GRCh38.p14 Primary Assembly': '75810824:75823371', 'Alternate T2T-CHM13v2.0': '77097888:77110476'}
KCNK1	1.10.287.70;	3UKM;	1	3775	{'Reference GRCh38.p14 Primary Assembly': '233614105:233672513', 'Alternate T2T-CHM13v2.0': '233000571:233058975'}
LGALS9	2.60.120.200;	2EAK;2EAL;2YY1;2ZHK;2ZHL;2ZHM;2ZHN;3LSD;3LSE;3NV1;3NV2;3NV3;3NV4;3WLU;3WV6;	17	3965	{'Reference GRCh38.p14 Primary Assembly': '27631187:27649559', 'Alternate T2T-CHM13v2.0': '28572661:28591029'}
STXBP3	1.25.40.60;3.40.50.1910;3.40.50.2060;		1	6814	{'Reference GRCh38.p14 Primary Assembly': '108746673:108809522', 'Alternate T2T-CHM13v2.0': '108779917:108842848'}
MASP2	2.10.70.10;2.10.25.10;2.60.120.290;2.40.10.10;	1Q3X;1SZB;1ZJK;3TVJ;5JPM;	1	10747	{'-': '4989:25705', 'Reference GRCh38.p14 Primary Assembly': '11026522:11047238', 'Alternate T2T-CHM13v2.0': '10567801:10588800'}
AP4M1	3.30.450.60;2.60.40.1170;	3L81;4MDR;	7	9179	{'-': '5136:12532', 'Reference GRCh38.p14 Primary Assembly': '100100793:100109038', 'Alternate T2T-CHM13v2.0': '101340728:101348884'}
ARVCF	1.25.10.10;		22	421	{'-': '4999:51926', 'Reference GRCh38.p14 Primary Assembly': '19965133:20016822', 'Alternate T2T-CHM13v2.0': '20344229:20394440'}
RAB27B	3.40.50.300;	2F7S;	18	5874	{'Reference GRCh38.p14 Primary Assembly': '54717856:54895515', 'Alternate T2T-CHM13v2.0': '54920964:55098600'}
AP3B1	1.25.10.10;		5	8546	{'-': '4949:297378', 'Reference GRCh38.p14 Primary Assembly': '78000521:78294697', 'Alternate T2T-CHM13v2.0': '78482311:78776324'}
SULT2B1	3.40.50.300;	1Q1Q;1Q1Z;1Q20;1Q22;	19	6820	{'-': '5000:52251', 'Reference GRCh38.p14 Primary Assembly': '48552171:48599426', 'Alternate T2T-CHM13v2.0': '51546346:51593562'}
TLR4	3.80.10.10;3.40.50.10140;	2Z62;2Z63;2Z65;2Z66;3FXI;3UL7;3UL8;3UL9;3ULA;4G8A;5NAM;5NAO;	9	7099	{'-': '5000:25332', 'Reference GRCh38.p14 Primary Assembly': '117704402:117724734', 'Alternate T2T-CHM13v2.0': '129898285:129918620'}
RHOD	3.40.50.300;	2J1L;7KDC;	11	29984	{'Reference GRCh38.p14 Primary Assembly': '67056846:67072016', 'Alternate T2T-CHM13v2.0': '67051321:67066490'}
APBB1	2.20.70.10;2.30.29.30;	2E45;2HO2;2IDH;2OEI;3D8D;3D8E;3D8F;3DXC;3DXD;3DXE;5NQH;	11	322	{'-': '5320:29289', 'Reference GRCh38.p14 Primary Assembly': '6395123:6419452', 'Alternate T2T-CHM13v2.0': '6453582:6477912'}
LGALS8	2.60.120.200;	2YRO;2YV8;2YXS;3AP4;3AP5;3AP6;3AP7;3AP9;3APB;3OJB;3VKL;3VKM;3VKN;3VKO;4BMB;4BME;4FQZ;4GXL;4HAN;5GZC;5GZD;5GZE;5GZF;5GZG;5T7I;5T7S;5T7T;5T7U;5VWG;6W4Z;6Z6Y;7AEN;7ALS;7P1M;8HL9;	1	3964	{'Reference GRCh38.p14 Primary Assembly': '236518213:236552980', 'Alternate T2T-CHM13v2.0': '235919115:235953935'}
NDUFS8	3.30.70.3270;	5XTB;5XTD;5XTH;5XTI;	11	4728	{'-': '5001:10964', 'Reference GRCh38.p14 Primary Assembly': '68030680:68036643', 'Alternate T2T-CHM13v2.0': '68034332:68040284'}
TNFRSF10A	1.10.533.10;2.10.50.10;	5CIR;	8	8797	{'-': '5065:39715', 'Reference GRCh38.p14 Primary Assembly': '23190451:23225101', 'Alternate T2T-CHM13v2.0': '23465336:23499969'}
NFKBIE	1.25.40.20;		6	4794	{'Reference GRCh38.p14 Primary Assembly': '44258165:44265550', 'Alternate T2T-CHM13v2.0': '44092316:44099687', '-': '746078:753463'}
GRM8	3.40.50.2300;2.10.50.30;	6BSZ;6BT5;6E5V;	7	2918	{'-': '4999:819342', 'Reference GRCh38.p14 Primary Assembly': '126438597:127252940', 'Alternate T2T-CHM13v2.0': '127750295:128564613'}
PSMD11	1.25.40.570;	5GJQ;5GJR;5L4K;5LN3;5M32;5T0C;5T0G;5T0H;5T0I;5T0J;5VFP;5VFQ;5VFR;5VFS;5VFT;5VFU;5VGZ;5VHF;5VHH;5VHI;5VHS;6MSB;6MSD;6MSE;6MSG;6MSH;6MSJ;6MSK;6WJD;6WJN;7QXN;7QXP;7QXU;7QXW;7QXX;7QY7;7QYA;7QYB;7W37;7W38;7W39;7W3A;7W3B;7W3C;7W3F;7W3G;7W3H;7W3I;7W3J;7W3K;7W3M;8CVT;	17	5717	{'Reference GRCh38.p14 Primary Assembly': '32444509:32483318', 'Alternate T2T-CHM13v2.0': '33390281:33429085'}
PSMD12	1.10.10.10;	5GJQ;5GJR;5L4K;5LN3;5M32;5T0C;5T0G;5T0H;5T0I;5T0J;5VFP;5VFQ;5VFR;5VFS;5VFT;5VFU;5VGZ;5VHF;5VHH;5VHI;5VHS;6MSB;6MSD;6MSE;6MSG;6MSH;6MSJ;6MSK;6WJD;6WJN;7QXN;7QXP;7QXU;7QXW;7QXX;7QY7;7QYA;7QYB;7W37;7W38;7W39;7W3A;7W3B;7W3C;7W3F;7W3G;7W3H;7W3I;7W3J;7W3K;7W3M;8CVT;	17	5718	{'Reference GRCh38.p14 Primary Assembly': '67337915:67366576', 'Alternate T2T-CHM13v2.0': '68213820:68242479'}
PSMD9	2.30.42.10;6.10.140.1710;		12	5715	{'Reference GRCh38.p14 Primary Assembly': '121888789:121918296', 'Alternate T2T-CHM13v2.0': '121885088:121914594'}
RNF103	3.30.40.10;		2	7844	{'Reference GRCh38.p14 Primary Assembly': '86603392:86623876', 'Alternate T2T-CHM13v2.0': '86605395:86625878'}
BMPR1B	2.10.60.10;1.10.510.10;	3MDY;	4	658	{'-': '4978:405471', 'Reference GRCh38.p14 Primary Assembly': '94757954:95158449', 'Alternate T2T-CHM13v2.0': '98073082:98473122'}
SIRPB1	2.60.40.10;	2JJV;	20	10326	{'Reference GRCh38.p14 Primary Assembly': '1561384:1620008', 'Alternate T2T-CHM13v2.0': '1610568:1636142'}
ATOX1	3.30.70.100;	1FE0;1FE4;1FEE;1TL4;1TL5;2K1R;2LQ9;3CJK;3IWL;3IWX;4QOT;4YDX;4YEA;5F0W;5T7L;7DC1;7ZC3;	5	475	{'Reference GRCh38.p14 Primary Assembly': '151742821:151758630', 'Alternate T2T-CHM13v2.0': '152281790:152297602'}
AGRP	4.10.760.10;	1HYK;1MR0;	16	181	{'-': '5266:6242', 'Reference GRCh38.p14 Primary Assembly': '67482570:67483546', 'Alternate T2T-CHM13v2.0': '73277342:73278318'}
F2RL2	1.20.1070.10;		5	2151	{'Reference GRCh38.p14 Primary Assembly': '76615481:76623402', 'Alternate T2T-CHM13v2.0': '77097222:77105144', '-': '217198:225119'}
CBX4	2.40.50.40;	2K28;3I8Z;5EPL;	17	8535	{'Reference GRCh38.p14 Primary Assembly': '79833155:79839439', 'Alternate T2T-CHM13v2.0': '80730964:80737248'}
GET1	1.10.287.660;	6SO5;8CQZ;8CR1;8CR2;	21	7485	{'-': '5039:22602', 'Reference GRCh38.p14 Primary Assembly': '39380325:39428527', 'Alternate T2T-CHM13v2.0': '37764911:37813127'}
PGRMC1	3.10.120.10;	4X8Y;	X	10857	{'-': '5037:13218', 'Reference GRCh38.p14 Primary Assembly': '119236284:119244465', 'Alternate T2T-CHM13v2.0': '117614038:117622219'}
SUPT5H	2.30.30.30;3.30.70.940;	2DO3;2E6Z;2E70;3H7H;4L1U;5OHO;5OHQ;5OIK;5U98;6EQY;6ER0;6GMH;6GML;6TED;7OKX;7OKY;7OL0;7PKS;7UNC;7UND;7YCX;8P4C;8P4D;8P4E;8P4F;	19	6829	{'Reference GRCh38.p14 Primary Assembly': '39445581:39476669', 'Alternate T2T-CHM13v2.0': '42249843:42280928'}
TAF4	1.10.20.10;1.20.120.1110;	1H3O;2P6V;6MZC;6MZD;6MZL;6MZM;7EDX;7EG7;7EG8;7EG9;7EGA;7EGB;7EGC;7EGD;7EGE;7EGF;7EGG;7EGI;7EGJ;7ENA;7ENC;8GXQ;8GXS;8WAK;8WAL;8WAN;8WAO;8WAP;8WAQ;8WAR;8WAS;	20	6874	{'Reference GRCh38.p14 Primary Assembly': '61974797:62065880', 'Alternate T2T-CHM13v2.0': '63763184:63856684', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '85384:118231'}
GPR31	1.20.1070.10;		6	2853	{'Reference GRCh38.p14 Primary Assembly': '167155246:167157979', 'Alternate T2T-CHM13v2.0': '168537921:168540654'}
DFFA	3.10.20.10;1.10.1490.10;	1IBX;1IYR;1KOY;	1	1676	{'-': '4999:21006', 'Reference GRCh38.p14 Primary Assembly': '10456521:10472528', 'Alternate T2T-CHM13v2.0': '10000138:10016136'}
RFXAP	6.10.290.30;	2KW3;	13	5994	{'-': '5000:15401', 'Reference GRCh38.p14 Primary Assembly': '36819221:36829103', 'Alternate T2T-CHM13v2.0': '36038803:36048681'}
HIP1	1.20.5.1700;1.25.40.90;6.10.250.920;1.20.1410.10;	2NO2;2QA7;3I00;	7	3092	{'-': '5020:210663', 'Reference GRCh38.p14 Primary Assembly': '75533297:75738940', 'Alternate T2T-CHM13v2.0': '76820629:77026023'}
LEFTY2	2.60.120.970;2.10.90.10;		1	7044	{'-': '5000:9617', 'Reference GRCh38.p14 Primary Assembly': '225936602:225941219', 'Alternate T2T-CHM13v2.0': '225124380:225128999'}
CLIC1	1.20.1050.10;3.40.30.10;	1K0M;1K0N;1K0O;1RK4;3O3T;3P8W;3P90;3QR6;3SWL;3TGZ;3UVH;4IQA;4JZQ;4K0G;4K0N;7F8R;7FBQ;	6	1192	{'Reference GRCh38.p14 Primary Assembly': '31730580:31737317', 'Alternate T2T-CHM13v2.0': '31583613:31590354', 'Reference GRCh38.p14 ALT_REF_LOCI_2': '3207868:3214609', 'Reference GRCh38.p14 ALT_REF_LOCI_3': '2978341:2985080', 'Reference GRCh38.p14 ALT_REF_LOCI_4': '3035627:3042368', 'Reference GRCh38.p14 ALT_REF_LOCI_5': '3072455:3079196', 'Reference GRCh38.p14 ALT_REF_LOCI_6': '2986391:2993136', 'Reference GRCh38.p14 ALT_REF_LOCI_7': '3029876:3036619'}
TNFRSF11B	1.10.533.10;2.10.50.10;	3URF;	8	4982	{'-': '5259:33587', 'Reference GRCh38.p14 Primary Assembly': '118923556:118951884', 'Alternate T2T-CHM13v2.0': '120051989:120080309'}
EIF3F	3.40.140.10;	3J8B;3J8C;6YBD;6ZMW;6ZON;6ZP4;6ZVJ;7A09;7QP6;7QP7;8PPL;	11	8665	{'Reference GRCh38.p14 Primary Assembly': '7987336:8001851', 'Alternate T2T-CHM13v2.0': '8066509:8081026'}
CACNB4	3.40.50.300;2.30.30.40;	2D46;	2	785	{'-': '5035:271308', 'Reference GRCh38.p14 Primary Assembly': '151832770:152099166', 'Alternate T2T-CHM13v2.0': '152284204:152568399'}
WWP2	2.20.70.10;2.60.40.150;3.30.2160.10;3.30.2410.10;3.90.1750.10;	4Y07;5TJ7;5TJ8;5TJQ;6J1Z;6RSS;8EI5;8EI6;8EI7;8EI8;	16	11060	{'Reference GRCh38.p14 Primary Assembly': '69762331:69941738', 'Alternate T2T-CHM13v2.0': '75564846:75744317'}
CDC7	1.10.510.10;	4F99;4F9A;4F9B;4F9C;5UWQ;5UWR;6YA6;6YA7;6YA8;	1	8317	{'Reference GRCh38.p14 Primary Assembly': '91500850:91525763', 'Alternate T2T-CHM13v2.0': '91343612:91370395'}
UPK1A	1.10.1450.10;		19	11045	{'Reference GRCh38.p14 Primary Assembly': '35666516:35678480', 'Alternate T2T-CHM13v2.0': '38211497:38223457'}
BMAL1	4.10.280.10;3.30.450.20;	4H10;	11	406	{'Reference GRCh38.p14 Primary Assembly': '13276651:13387265', 'Alternate T2T-CHM13v2.0': '13369377:13480009'}
PIK3CD	3.10.20.770;2.60.40.150;1.10.1070.11;1.25.40.70;	5DXU;5M6U;5T8F;5UBT;5VLR;6G6W;6OCO;6OCU;6PYR;6PYU;7JIS;7LM2;7LQ1;8BCY;	1	5293	{'-': '5000:82382', 'Reference GRCh38.p14 Primary Assembly': '9627257:9729113', 'Alternate T2T-CHM13v2.0': '9170039:9271896'}
PDHX	2.40.50.100;3.30.559.10;4.10.320.10;	1ZY8;2DNC;2F5Z;2F60;6H60;	11	8050	{'-': '5488:84998', 'Reference GRCh38.p14 Primary Assembly': '34915919:34996127', 'Alternate T2T-CHM13v2.0': '35054372:35134136'}
SULT1C2	3.40.50.300;	3BFX;	2	6819	{'Reference GRCh38.p14 Primary Assembly': '108288894:108309914', 'Alternate T2T-CHM13v2.0': '108749769:108770813'}
MATN2	1.20.5.30;2.10.25.10;3.40.50.410;		8	4147	{'Reference GRCh38.p14 Primary Assembly': '97869063:98036723', 'Alternate T2T-CHM13v2.0': '98994564:99162196'}
SLC1A7	1.10.3860.10;		1	6512	{'Reference GRCh38.p14 Primary Assembly': '53087182:53142637', 'Alternate T2T-CHM13v2.0': '52968684:53024056'}
FOXE1	1.10.10.10;		9	2304	{'-': '4971:8462', 'Reference GRCh38.p14 Primary Assembly': '97853225:97856716', 'Alternate T2T-CHM13v2.0': '110025162:110028653'}
	1.20.1070.10;				{}
QSOX1	1.20.120.310;3.40.30.10;1.20.120.1960;	3LLI;3LLK;3Q6O;4IJ3;	1	5768	{'Reference GRCh38.p14 Primary Assembly': '180154868:180204029', 'Alternate T2T-CHM13v2.0': '179510603:179559768'}
DCTN6	2.160.10.10;	3TV0;	8	10671	{'Reference GRCh38.p14 Primary Assembly': '30156368:30183638', 'Alternate T2T-CHM13v2.0': '30435239:30462513'}
SLC33A1	1.20.1250.20;		3	9197	{'-': '4999:38402', 'Reference GRCh38.p14 Primary Assembly': '155821023:155854426', 'Alternate T2T-CHM13v2.0': '158595659:158629056'}
WASL	3.90.810.10;2.30.29.30;	2FF3;2LNH;2VCP;4CC2;4CC7;	7	8976	{'Reference GRCh38.p14 Primary Assembly': '123681942:123749002', 'Alternate T2T-CHM13v2.0': '124998696:125065741'}
PDE2A	3.30.450.40;1.10.1300.10;	1Z1L;3IBJ;3ITM;3ITU;4C1I;4D08;4D09;4HTX;4HTZ;4JIB;5TZ3;5TZA;5TZC;5TZH;5TZW;5TZX;5TZZ;5U00;5U7D;5U7I;5U7J;5U7K;5U7L;5VP0;5VP1;5XKM;6B96;6B97;6B98;6BLF;6C7D;6C7E;6C7F;6C7G;6C7I;6C7J;6CYB;6CYC;6CYD;6ZND;6ZQZ;	11	5138	{'Reference GRCh38.p14 Primary Assembly': '72576140:72674421', 'Alternate T2T-CHM13v2.0': '72502657:72602658'}
FOXN3	1.10.10.10;	6NCE;6NCM;	14	1112	{'Reference GRCh38.p14 Primary Assembly': '89156176:89619164', 'Alternate T2T-CHM13v2.0': '83379833:83842984'}
IPO5	1.25.10.10;	6XTE;6XU2;	13	3843	{'Reference GRCh38.p14 Primary Assembly': '97953674:98024295', 'Alternate T2T-CHM13v2.0': '97160507:97231137'}
POLRMT	1.10.287.280;1.10.150.20;1.10.1320.10;1.25.40.10;	3SPA;4BOC;5OLA;6ERP;6ERQ;7A8P;7PZP;7PZR;7ZC4;	19	5442	{'-': '5031:21347', 'Reference GRCh38.p14 Primary Assembly': '617220:633536', 'Alternate T2T-CHM13v2.0': '571526:587842'}
EEF2K	3.20.200.10;1.25.40.10;	5J8H;5KS5;6NX4;7SHQ;8FNY;8FO6;8GM4;8GM5;	16	29904	{'Reference GRCh38.p14 Primary Assembly': '22206277:22288737', 'Alternate T2T-CHM13v2.0': '21928474:22010935', 'Reference GRCh38.p14 PATCHES': '816311:898760'}
CCRL2	1.20.1070.10;		3	9034	{'Reference GRCh38.p14 Primary Assembly': '46407258:46409522', 'Alternate T2T-CHM13v2.0': '46422958:46425352'}
SAP18	3.10.20.550;	2HDE;	13	10284	{'Reference GRCh38.p14 Primary Assembly': '21140118:21149096', 'Alternate T2T-CHM13v2.0': '20331499:20342168'}
EML1	2.130.10.10;	4CI8;	14	2009	{'-': '60714:209361', 'Reference GRCh38.p14 Primary Assembly': '99737721:99942059', 'Alternate T2T-CHM13v2.0': '93969150:94174608'}
IGF2BP3	3.30.310.210;3.30.70.330;3.30.1370.10;	2E44;6FQ1;6FQR;6GQE;6GX6;	7	10643	{'Reference GRCh38.p14 Primary Assembly': '23310208:23470490', 'Alternate T2T-CHM13v2.0': '23446648:23606902'}
DNM1L	1.20.120.1240;3.40.50.300;	3W6N;3W6O;3W6P;4BEJ;4H1U;4H1V;5WP9;	12	10059	{'-': '5098:71447', 'Reference GRCh38.p14 Primary Assembly': '32679300:32745649', 'Alternate T2T-CHM13v2.0': '32555587:32621928'}
RTCA	3.65.10.20;3.30.360.20;		1	8634	{'Reference GRCh38.p14 Primary Assembly': '100266215:100292768', 'Alternate T2T-CHM13v2.0': '100114187:100140721'}
PIK3C2A	2.60.40.150;1.10.1070.11;1.25.40.70;3.30.1520.10;	2AR5;2IWL;2REA;2RED;6BTY;6BTZ;6BU0;6BUB;	11	5286	{'Reference GRCh38.p14 Primary Assembly': '17086574:17207985', 'Alternate T2T-CHM13v2.0': '17184462:17305650'}
PLK4	2.40.50.930;3.30.1120.120;3.30.1120.130;1.10.510.10;	2N19;3COK;4JXF;4N7V;4N7Z;4N9J;4YUR;4YYP;5LHY;5LHZ;6N45;6N46;6W38;6W3I;6W3J;	4	10733	{'-': '5032:23363', 'Reference GRCh38.p14 Primary Assembly': '127880892:127899223', 'Alternate T2T-CHM13v2.0': '131183904:131202249'}
SYT5	2.60.40.150;	5H4Y;5H4Z;	19	6861	{'Reference GRCh38.p14 Primary Assembly': '55171195:55180288', 'Alternate T2T-CHM13v2.0': '58265258:58274350'}
GFRA2	1.10.220.110;	5MR4;5MR5;6GL7;6Q2O;6Q2R;	8	2675	{'-': '28469:126946', 'Reference GRCh38.p14 Primary Assembly': '21690397:21812344', 'Alternate T2T-CHM13v2.0': '21961567:22086202'}
PIK3R2	1.10.287.1490;1.10.555.10;3.30.505.10;2.30.30.40;	2KT1;2XS6;3MTT;3O5Z;6OX7;6U28;7RCH;7RNU;	19	5296	{'-': '4985:22354', 'Reference GRCh38.p14 Primary Assembly': '18153162:18170531', 'Alternate T2T-CHM13v2.0': '18287262:18304663'}
MANBA	2.60.120.260;3.20.20.80;2.60.40.10;		4	4126	{'-': '5026:135224', 'Reference GRCh38.p14 Primary Assembly': '102630769:102760967', 'Alternate T2T-CHM13v2.0': '105944713:106074869'}
TRAF5	3.30.40.10;	7L3L;	1	7188	{'Reference GRCh38.p14 Primary Assembly': '211326634:211374945', 'Alternate T2T-CHM13v2.0': '210572245:210620554'}
AGRN	2.40.50.120;2.60.120.200;3.30.60.30;2.10.25.10;3.30.70.960;	8S9P;	1	375790	{'-': '5000:40996', 'Reference GRCh38.p14 Primary Assembly': '1020119:1056115', 'Alternate T2T-CHM13v2.0': '450246:486180'}
PLOD2	2.60.120.620;		3	5352	{'-': '5000:97055', 'Reference GRCh38.p14 Primary Assembly': '146069439:146161183', 'Alternate T2T-CHM13v2.0': '148824991:148916734'}
MEIS1	1.10.10.60;	4XRS;5EGO;	2	4211	{'-': '4725:143469', 'Reference GRCh38.p14 Primary Assembly': '66435124:66573868', 'Alternate T2T-CHM13v2.0': '66444204:66582942'}
ELL2	6.10.140.340;1.10.10.2670;	2E5N;5JW9;7OKX;7OKY;	5	22936	{'Reference GRCh38.p14 Primary Assembly': '95885097:95961850', 'Alternate T2T-CHM13v2.0': '96386337:96463171'}
SLC17A3	1.20.1250.20;		6	10786	{'-': '5000:34387', 'Reference GRCh38.p14 Primary Assembly': '25844855:25874242', 'Alternate T2T-CHM13v2.0': '25710671:25740055'}
BTN3A3	2.60.120.920;2.60.40.10;	4F8T;5ZZ3;6J0G;6J0K;6J0L;	6	10384	{'Reference GRCh38.p14 Primary Assembly': '26440503:26453414', 'Alternate T2T-CHM13v2.0': '26308866:26321779'}
BTN3A1	2.60.120.920;2.60.40.10;	4F80;4F9L;4F9P;4JKW;4K55;4N7I;4N7U;4V1P;5HM7;5LYG;5LYK;5ZXK;6ISM;6ITA;6J06;6XLQ;8DFX;8IXV;8IZE;8IZG;8JYC;8JYE;	6	11119	{'Reference GRCh38.p14 Primary Assembly': '26402274:26415207', 'Alternate T2T-CHM13v2.0': '26270638:26289981'}
NR5A2	3.30.50.10;1.10.565.10;	1YOK;1YUC;1ZDU;2A66;3PLZ;3TX7;4DOR;4DOS;4IS8;4ONI;4PLD;4PLE;4RWV;5L0M;5L11;5SYZ;5UNJ;6OQX;6OQY;6OR1;6VC2;6VIF;7JYD;7JYE;7TT8;8F8M;	1	2494	{'-': '5108:154813', 'Reference GRCh38.p14 Primary Assembly': '200027709:200177414', 'Alternate T2T-CHM13v2.0': '199284724:199434350'}
PSMD14	3.40.140.10;	5GJQ;5GJR;5L4K;5LN3;5M32;5T0C;5T0G;5T0H;5T0I;5T0J;5VFP;5VFQ;5VFR;5VFS;5VFT;5VFU;5VGZ;5VHF;5VHH;5VHI;5VHS;6MSB;6MSD;6MSE;6MSG;6MSH;6MSJ;6MSK;6WJD;6WJN;7QXN;7QXP;7QXU;7QXW;7QXX;7QY7;7QYA;7QYB;7W37;7W38;7W39;7W3A;7W3B;7W3C;7W3F;7W3G;7W3H;7W3I;7W3J;7W3K;7W3M;8CVT;	2	10213	{'Reference GRCh38.p14 Primary Assembly': '161308424:161411716', 'Alternate T2T-CHM13v2.0': '161766718:161870043'}
ZNF593	3.30.160.60;	1ZR9;6LSS;6LU8;8FL2;8FL3;8FL4;8FL6;8FL7;8FL9;8FLA;8FLB;8FLC;8FLD;8FLE;8FLF;8IDT;8IDY;8IE3;8INE;8INF;8INK;8IPD;8IPX;8IPY;8IR3;	1	51042	{'Reference GRCh38.p14 Primary Assembly': '26169907:26170872', 'Alternate T2T-CHM13v2.0': '26007338:26008303'}
BIN1	1.20.1270.60;2.30.30.40;	1MUZ;1MV0;1MV3;2FIC;2RMY;2RND;5I22;	2	274	{'-': '5134:64256', 'Reference GRCh38.p14 Primary Assembly': '127048022:127107153', 'Alternate T2T-CHM13v2.0': '127482407:127541544'}
CLDN5	1.20.140.150;		22	7122	{'Reference GRCh38.p14 Primary Assembly': '19523023:19525336', 'Alternate T2T-CHM13v2.0': '19899864:19902177', '-': '-:-'}
KPNA3	1.20.5.690;1.25.10.10;		13	3839	{'Reference GRCh38.p14 Primary Assembly': '49699319:49792681', 'Alternate T2T-CHM13v2.0': '48918229:49011560'}
STK25	1.10.12.70;1.10.510.10;	2XIK;3W8H;4NZW;7Z4V;	2	10494	{'Reference GRCh38.p14 Primary Assembly': '241492669:241509571', 'Alternate T2T-CHM13v2.0': '241992006:242008898'}
USP9Y	3.90.70.10;		Y	8287	{'-': '5001:164609', 'Reference GRCh38.p14 Primary Assembly': '12701230:12860838', 'Alternate T2T-CHM13v2.0': '13609503:13769112'}
BCL9	3.30.40.10;	2GL7;2VP7;2VPB;2VPD;2VPE;2VPG;3SL9;	1	607	{'Reference GRCh38.p14 Primary Assembly': '147541500:147626215', 'Alternate T2T-CHM13v2.0': '147181849:147266600'}
FAAH	3.90.1300.10;		1	2166	{'-': '5001:24529', 'Reference GRCh38.p14 Primary Assembly': '46394316:46413844', 'Alternate T2T-CHM13v2.0': '46271529:46291058'}
KRIT1	1.20.80.10;1.25.40.20;3.30.70.2240;2.30.29.30;	3U7D;4DX8;4DXA;4HDO;4HDQ;4JIF;4TKN;5D68;6OQ3;6OQ4;6UZK;8SU8;8T7V;	7	889	{'-': '5000:52131', 'Reference GRCh38.p14 Primary Assembly': '92198968:92246099', 'Alternate T2T-CHM13v2.0': '93440256:93487386'}
CHL1	2.60.40.10;		3	10752	{'Reference GRCh38.p14 Primary Assembly': '196762:409416', 'Alternate T2T-CHM13v2.0': '188581:401276'}
PES1	3.40.50.10190;	2EP8;8FKP;8FKQ;8FKR;8FKS;8FKT;8FKU;8FKV;8FKW;8FKX;8FKY;8FKZ;8FL2;8FL3;8FL4;8FL6;8FL7;8FLA;8FLB;8FLD;8FLE;8INE;8INF;8IPX;8IPY;8IR3;	22	23481	{'Reference GRCh38.p14 Primary Assembly': '30576624:30607012', 'Alternate T2T-CHM13v2.0': '31040028:31070583'}
DLL1	2.10.25.140;2.60.40.3510;2.10.25.10;	4XBM;	6	28514	{'-': '4531:13403', 'Reference GRCh38.p14 Primary Assembly': '170282205:170291077', 'Alternate T2T-CHM13v2.0': '171640899:171649768', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '9443:18315'}
CACNA1A	1.10.287.70;6.10.250.2180;6.10.250.2500;1.20.120.350;	3BXK;	19	773	{'-': '5000:305018', 'Reference GRCh38.p14 Primary Assembly': '13206441:13506478', 'Alternate T2T-CHM13v2.0': '13331718:13631839'}
SDCBP	2.30.42.10;	1N99;1NTE;1OBX;1OBY;1OBZ;1R6J;1V1T;1W9E;1W9O;1W9Q;1YBO;4Z33;6R9H;6RLC;7FSG;7FSH;7FSI;7FSJ;7FSK;7FSL;7FSM;7FSN;7FSO;7FSP;7FSQ;7FSR;7FSS;7FST;7FSU;7FSV;7FSW;7FSX;7FSY;7FSZ;7FT0;7FT1;7FT2;7FT3;7FT4;7FT5;7FT6;7FT7;7FT8;7FT9;7FTA;7FTB;7FTC;7FTD;8AAI;8AAK;8AAO;8AAP;8BLU;8BLV;8HCK;	8	6386	{'Reference GRCh38.p14 Primary Assembly': '58553260:58582857', 'Alternate T2T-CHM13v2.0': '58974407:59004010'}
PITPNM1	3.30.530.20;3.40.50.1000;		11	9600	{'Reference GRCh38.p14 Primary Assembly': '67491767:67506265', 'Alternate T2T-CHM13v2.0': '67485894:67500942'}
NOP56	1.10.287.4070;1.10.246.90;	7MQ8;7MQ9;7MQA;	20	10528	{'-': '5100:10861', 'Reference GRCh38.p14 Primary Assembly': '2652631:2658392', 'Alternate T2T-CHM13v2.0': '2683092:2688859'}
DDX3X	3.40.50.300;	2I4I;2JGN;3JRV;4O2C;4O2E;4O2F;4PX9;4PXA;5E7I;5E7J;5E7M;6CZ5;6O5F;7LIU;	X	1654	{'-': '5764:21876', 'Reference GRCh38.p14 Primary Assembly': '41333307:41364471', 'Alternate T2T-CHM13v2.0': '40735392:40766555'}
CXCR6	1.20.1070.10;		3	10663	{'Reference GRCh38.p14 Primary Assembly': '45940914:45948350', 'Alternate T2T-CHM13v2.0': '45956797:45964233', '-': '52473:59909'}
RNASET2	3.90.730.10;	3T0O;	6	8635	{'-': '5039:39476', 'Reference GRCh38.p14 Primary Assembly': '166922112:166956549', 'Alternate T2T-CHM13v2.0': '168304857:168339305'}
